"Country","avg_daily_smokers","avg_total_smokers","avg_total_female_smokers","avg_total_male_smokers","Population","Code","Year","Continent"
"Switzerland",26,1499387,665351,834036,8654618,"CHE",2015,"Europe"
"Syria",30,1478623,261915,1216708,17500657,"SYR",2015,"Asia"
"Taiwan",30,3418492,289039,3129454,23816775,"TWN",2015,"Asia"
"Tajikistan",21,619630,52262,567369,9537642,"TJK",2015,"Asia"
"Tanzania",10,1855353,140068,1715286,56320000,"TZA",2015,"Africa"
"Thailand",14,9770191,712067,9058125,69799978,"THA",2015,"Asia"
"Timor",2,146569,9151,137418,1268000,NA,NA,NA
"Togo",31,157780,16559,141221,8278737,"TGO",2015,"Africa"
"Tonga",14,19271,5282,13990,106017,"TON",2015,"Oceania"
"Trinidad and Tobago",21,163155,34689,128466,1399491,"TTO",2015,"North America"
"Tunisia",21,1391178,80679,1310499,11818618,"TUN",2015,"Africa"
"Turkey",23,11450555,3018695,8431860,84339067,"TUR",2015,"Asia"
"Turkmenistan",24,549536,46333,503203,6342000,"TKM",2015,"Asia"
"Uganda",5,1258452,149134,1109319,45741000,"UGA",2015,"Africa"
"Ukraine",18,12066218,2619462,9446756,43733759,"UKR",2015,"Europe"
"United Arab Emirates",16,423532,9075,414457,9890400,"ARE",2015,"Asia"
"United Kingdom",16,13158988,6562664,6596325,67886004,"GBR",2015,"Europe"
"United States",28,45319093,21343082,23976012,331002647,"USA",2015,"North America"
"Uruguay",20,661631,267441,394191,3473727,"URY",2015,"South America"
"Uzbekistan",20,1545743,95973,1449770,33469199,"UZB",2015,"Asia"
"Vanuatu",6,20264,1929,18336,319137,"VUT",2015,"Oceania"
"Venezuela",20,2718272,897502,1820770,28435943,"VEN",2015,"South America"
"Vietnam",10,12799876,705933,12093943,97338583,"VNM",2015,"Asia"
"Yemen",28,1358164,317065,1041099,29825968,"YEM",2015,"Asia"
"Zambia",8,572801,69517,503284,18383956,"ZMB",2015,"Africa"
"Zimbabwe",23,725971,75915,650056,14862927,"ZWE",2015,"Africa"
